id,qty
2D239,1
2D220,1
2D210,1
2A231,1
2E156,1
2D149,1
2E207,1
2B92,1
2C110,1
2C103,1
2A70,1
2A67,1
2B105,1
2C116,1
2C115,1
2C117,1
2E127,1
2E192,1
2B237,1
2E192,1
2E192,1
2B133,1
2E72,1
2A224,1
2C175,1
2C185,1
2B84,1
2B62,1
2C107,1
2B105,1
2A202,1
2D70,1
2D139,1
2A146,1
2D133,1
2A211,1
2B97,1
2D149,1
2E186,1
2C178,1
2C190,1
2B59,1
2C179,1
2B28,1
2C2,1
2B90,1
2A25,1
2D165,1
2C96,1
2E147,1
2B96,1
2A225,1
2B229,1
2A225,1
2B28,1
2B65,1
2A223,1
2D169,1
2D146,1
2B163,1
2D137,1
2C229,1
2D64,1
2A206,1
2A202,1
2B80,1
2E165,1
2D206,1
2C105,1
2A33,1
2B160,1
2A185,1
2B71,1
2A185,1
2A115,1
2E174,1
2B54,1
2D190,1
2D190,1
2C12,1
2C105,1
2D190,1
2B82,1
2B64,1
2C129,1
2C12,1
2B67,1
2C118,1
2B67,1
2D160,1
2D173,1
2C189,1
2D144,1
2A121,1
2A159,1
2A125,1
2E185,1
2A197,1
2C28,1
2B67,1
2C127,1
2D174,1
2C44,1
2C2,1
2C90,1
2C88,1
2C96,1
2C127,1
2C186,1
2D146,1
2E185,1
2E127,1
2E118,1
2E183,1
2C33,1
2B240,1
2A128,1
2C235,1
2A127,1
2C235,1
2C235,1
2C76,1
2B240,1
2C10,1
2C88,1
2B229,1
2C69,1
2B194,1
2D101,1
2B183,1
2D100,1
2E150,1
2B183,1
2D167,1
2C238,1
2B221,1
2A121,1
2B221,1
2A144,1
2C218,1
2D170,1
2B210,1
2E185,1
2C128,1
2C236,1
2E127,1
2A148,1
2B203,1
2D17,1
2C207,1
2B202,1
2A152,1
2C141,1
2E111,1
2E135,1
2C144,1
2C218,1
2E143,1
2C181,1
2C180,1
2B202,1
2A156,1
2B202,1
2C135,1
2A124,1
2D71,1
2B202,1
2D178,1
2A161,1
2B199,1
2A159,1
2B196,1
2C180,1
2E131,1
2E111,1
2A161,1
2A127,1
2B184,1
2D227,1
2A156,1
2E158,1
2A169,1
2D20,1
2A26,1
2C88,1
2E108,1
2A90,1
2A134,1
2B230,1
2C237,1
2C33,1
2C10,1
2C88,1
2B4,1
2B90,1
2E94,1
2A85,1
2C118,1
2C36,1
2E94,1
2E10,1
2C119,1
2C233,1
2C88,1
2E128,1
2C138,1
2A158,1
2D227,1
2C95,1
2E110,1
2A70,1
2A128,1
2B199,1
2B234,1
2A158,1
2A157,1
2D218,1
2D218,1
2C88,1
2A35,1
2D36,1
2C30,1
2E168,1
2A169,1
2C240,1
2E106,1
2C148,1
2A163,1
2B156,1
2B125,1
2B98,1
2A38,1
2A128,1
2E124,1
2E125,1
2E130,1
2D239,1
2A50,1
2C238,1
2B132,1
2A130,1
2C42,1
2E180,1
2A155,1
2D55,1
2A92,1
2C63,1
2D214,1
2E159,1
2E177,1
2C35,1
2A142,1
2E106,1
2C110,1
2E147,1
2C157,1
2C154,1
2D211,1
2A158,1
2A59,1
2D189,1
2B146,1
2C237,1
2D188,1
2B121,1
2D126,1
2B176,1
2B164,1
2C237,1
2B161,1
2C236,1
2B168,1
2D148,1
2E5,1
2B5,1
2D161,1
2E207,1
2E195,1
2C110,1
2D209,1
2E106,1
2C162,1
2B155,1
2C215,1
2D163,1
2E192,1
2A141,1
2B112,1
2E185,1
2B175,1
2B5,1
2B161,1
2B5,1
2C215,1
2B175,1
2C122,1
2B11,1
2A115,1
2A158,1
2A7,1
2E10,1
2C88,1
2B7,1
2C178,1
2C225,1
2B183,1
2C43,1
2C86,1
2E71,1
2C101,1
2E71,1
2E160,1
2C210,1
2D121,1
2B230,1
2C77,1
2C209,1
2B15,1
2D135,1
2B106,1
2C99,1
2D129,1
2C56,1
2D103,1
2E17,1
2A147,1
2B156,1
2A164,1
2C99,1
2E170,1
2D136,1
2B225,1
2C60,1
2E102,1
2C58,1
2D130,1
2D205,1
2E102,1
2C59,1
2A62,1
2D132,1
2C90,1
2A164,1
2B156,1
2D139,1
2C61,1
2D150,1
2E1,1
2E26,1
2D193,1
2B163,1
2D143,1
2E71,1
2C202,1
2B105,1
2C113,1
2B13,1
2E26,1
2B107,1
2C234,1
2C177,1
2A44,1
2C193,1
2A177,1
2C70,1
2C72,1
2E48,1
2C197,1
2C72,1
2B139,1
2B20,1
2B91,1
2C62,1
2A122,1
2D152,1
2E109,1
2C188,1
2B54,1
2A95,1
2C197,1
2B163,1
2E109,1
2C71,1
2A125,1
2D146,1
2D157,1
2A170,1
2E26,1
2C235,1
2E101,1
2D150,1
2B159,1
2A172,1
2C127,1
2C68,1
2B25,1
2D190,1
2C192,1
2E48,1
2C124,1
2D161,1
2A137,1
2D211,1
2B35,1
2E124,1
2A106,1
2C186,1
2A212,1
2A102,1
2C133,1
2E96,1
2B159,1
2D100,1
2B20,1
2B101,1
2C111,1
2A178,1
2C127,1
2D161,1
2B165,1
2E54,1
2D180,1
2C70,1
